id_Cliente,Nome,DataCriacao,CodigoPostal,Cidade,Pais,NIF
1,Dillon Megan,2004-03-19,4935,viana do castelo,PT,NULL
2,Giampaolo Cornelson,2004-03-19,4920,vila nova cerveira,PT,NULL
3,Josefa Cheyne,2005-03-23,4980,ponte da barca,PT,332111816
4,Asia Dillard,2005-11-18,4935,viana do castelo,PT,054560344
5,Pamila Vazguez,2005-12-05,4900,viana do castelo,PT,656140217
6,Gillian Pinckney,2005-12-15,4990,ponte de lima,PT,NULL
7,Berneice Revelle,2006-01-24,4980,ponte da barca,PT,NULL
8,Flossie Legath,2006-02-20,4900,viana do castelo,PT,301700427
9,Gabriele Manker,2006-03-15,,bujalance,ES,027060088
10,Stuart Bensman,2006-04-27,4990,ponte de lima,PT,750347425
11,Indira Breyers,2006-05-10,4935,viana do castelo,PT,568712665
12,Donta Nasca,2007-03-14,4910,vila praia de ancora,PT,157083672
13,Maxwell Omer,2018-08-24,4990,ponte de lima,PT,107753803
14,Llewellyn Munari,2019-01-07,4930,valença,PT,564750578
15,Jose Jorgensen,2019-07-30,4980,ponte da barca,PT,NULL
16,Velma Manigold,2005-12-16,,guimarães,PT,384732087
17,Lenna Zaya,2006-01-06,4835,guimarães,PT,214458520
18,Blanch Mccrumb,2006-01-12,4764,famalicão,PT,788331535
19,Eladio Vanakin,2006-01-24,4705,braga,PT,677215276
20,Tucker Kozeyah,2006-02-16,4810,guimarães,PT,383154256
21,Suresh Spector,2006-02-20,,narbonne,FR,NULL
22,Lucilla Ketzler,2006-02-20,,vendargues,FR,353137463
23,Adrian Stoldt,2006-03-30,,saint-aunes,FR,185225586
24,Florinda Pitka,2006-03-10,4700,braga,PT,852065665
25,Jelani Crosland,2006-03-10,4755,barcelos,PT,550074342
26,Irene Vigus,2006-03-15,4705,braga,PT,353357630
27,Demetris Muresan,2006-04-06,4700,braga,PT,150504537
28,Yolonda Guffanti,2006-04-10,4810,pinheiro,PT,287073118
